Season,Team,vegas_wins
2013,LAD,91.5
2013,MIA,63.0
2013,MIL,81.0
2013,MIN,67.5
2013,NYM,75.0
2013,NYY,84.5
2013,OAK,84.5
2013,PHI,84.0
2013,PIT,77.0
2013,SD,74.5
2013,SF,88.0
2013,SEA,77.5
2013,STL,86.0
2013,TB,86.0
2013,TEX,86.5
2013,TOR,89.0
2014,ARI,81.5
2014,ATL,87.5
2014,BAL,81.5
2014,BOS,88.0
2014,CHC,70.0
2014,CHW,76.5
2014,CIN,84.5
2014,CLE,80.5
2014,COL,76.5
2014,DET,90.0
2014,HOU,62.5
2014,KCR,82.0
2014,LAA,86.5
2014,LAD,92.5
2014,MIA,69.5
2014,MIL,80.0
2014,MIN,70.5
2014,NYM,74.0
2014,NYY,87.0
2014,OAK,88.5
2014,PHI,76.5
2014,PIT,84.5
2014,SD,79.0
2014,SF,86.5
2014,SEA,81.0
2014,STL,91.5
2014,TB,88.0
2014,TEX,87.0
2014,TOR,80.5
2015,ARI,72.5
2015,ATL,73.5
2015,BAL,82.5
2015,BOS,86.0
2015,CHC,83.0
2015,CHW,81.5
2015,CIN,77.5
2015,CLE,84.5
2015,COL,72.5
2015,DET,83.5
2015,HOU,76.5
2015,KCR,80.5
2015,LAA,87.5
2015,LAD,92.5
2015,MIA,81.5
2015,MIL,78.5
2015,MIN,71.5
2015,NYM,82.5
2015,NYY,81.5
2015,OAK,82.5
2015,PHI,67.5
2015,PIT,85.0
2015,SD,83.5
2015,SF,82.5
2015,SEA,87.5
2015,STL,87.5
2015,TB,79.5
2015,TEX,75.5
2015,TOR,82.5
2016,ARI,84.5
2016,ATL,65.0
2016,BAL,80.5
2016,BOS,85.5
2016,CHC,89.0
2016,CHW,80.5
2016,CIN,71.0
2016,CLE,84.0
2016,COL,68.0
2016,DET,85.0
2016,HOU,85.5
2016,KCR,87.0
2016,LAA,82.5
2016,LAD,87.0
2016,MIA,80.5
2016,MIL,71.5
2016,MIN,77.5
2016,NYM,88.0
2016,NYY,85.0
2016,OAK,75.5
2016,PHI,66.5
2016,PIT,87.0
2016,SD,74.0
2016,SF,90.0
2016,SEA,83.0
2016,STL,87.5
2016,TB,78.0
2016,TEX,86.0
2016,TOR,87.0
2016,WAS,87.0
2017,ARI,78.5
2017,ATL,71.5
2017,BAL,84.5
2017,BOS,90.5
2017,CHC,95.5
2017,CHW,73.5
2017,CIN,73.5
2017,CLE,92.5
2017,COL,79.5
2017,DET,85.5
2017,HOU,87.5
2017,KCR,80.5
2017,LAA,76.5
2017,LAD,91.5
2017,MIA,77.5
2017,MIL,72.5
2017,MIN,70.5
2017,NYM,89.5
2017,NYY,83.5
2017,OAK,66.5
2017,PHI,72.5
2017,PIT,85.5
2017,SD,64.5
2017,SF,87.5
2017,SEA,85.5
2017,STL,87.5
2017,TB,75.5
2017,TEX,86.5
2017,TOR,86.5
2017,WAS,90.5
2018,NYY,94.5
2018,BOS,92.5
2018,TOR,81.5
2018,TB,73.5
2018,BAL,71.5
2018,CLE,95.5
2018,MIN,82.5
2018,CHW,71.5
2018,DET,67.5
2018,KCR,67.5
2018,HOU,96.5
2018,LAA,84.5
2018,SEA,81.5
2018,TEX,76.5
2018,OAK,75.5
2018,WAS,94.5
2018,NYM,81.5
2018,PHI,77.5
2018,ATL,75.5
2018,MIA,64.5
2018,CHC,93.5
2018,STL,86.5
2018,MIL,83.5
2018,PIT,74.5
2018,CIN,73.5
2018,LAD,95.5
2018,ARI,84.5
2018,SF,82.5
2018,COL,81.5
2018,SD,73.5
2019,ARI,77.0
2019,ATL,84.0
2019,BAL,59.0
2019,BOS,95.5
2019,CHC,89.0
2019,CHW,74.5
2019,CIN,77.0
2019,CLE,91.5
2019,COL,82.0
2019,DET,67.0
2019,HOU,97.5
2019,KCR,69.0
2019,LAA,83.5
2019,LAD,95.0
2019,MIA,65.5
2019,MIL,83.5
2019,MIN,84.0
2019,NYM,83.5
2019,NYY,94.5
2019,OAK,83.0
2019,PHI,83.0
2019,PIT,78.5
2019,SD,77.5
2019,SF,73.0
2019,SEA,74.5
2019,STL,88.5
2019,TB,85.5
2019,TEX,70.5
2019,TOR,76.5
2019,WAS,88.5
2021,LAD,103.0
2021,NYY,95.5
2021,SD,95.0
2021,ATL,92.0
2021,CHW,91.0
2021,NYM,90.0
2021,MIN,88.5
2021,HOU,87.0
2021,OAK,87.0
2021,STL,87.0
2021,TOR,87.0
2021,TB,86.0
2021,WAS,84.5
2021,CIN,83.0
2021,LAA,83.0
2021,MIL,82.5
2021,CLE,81.0
2021,PHI,81.0
2021,BOS,80.0
2021,CHC,80.0
2021,SF,75.5
2021,ARI,75.5
2021,KCR,72.0
2021,SEA,72.0
2021,MIA,67.0
2021,DET,67.0
2021,TEX,67.0
2021,BAL,64.0
2021,COL,63.5
2021,PIT,58.5
2022,LAD,97.5
2022,HOU,92.5
2022,NYY,92.5
2022,CHW,91.5
2022,TOR,91.5
2022,ATL,90.5
2022,NYM,90.5
2022,TB,89.5
2022,MIL,88.5
2022,SD,87.5
2022,SF,85.5
2022,STL,85.5
2022,BOS,85.5
2022,SEA,85.5
2022,PHI,84.5
2022,LAA,84.5
2022,MIN,80.5
2022,DET,78.5
2022,CIN,75.5
2022,MIA,75.5
2022,CLE,75.5
2022,KCR,75.5
2022,CHC,74.5
2022,TEX,74.5
2022,OAK,71.5
2022,WAS,70.5
2022,COL,69.5
2022,ARI,65.5
2022,BAL,64.5
2022,PIT,62.5
2023,LAD,95.5
2023,HOU,95.5
2023,NYY,94.5
2023,ATL,94.5
2023,NYM,94.5
2023,SD,92.5
2023,TOR,90.5
2023,TB,88.5
2023,PHI,88.5
2023,STL,88.5
2023,SEA,87.5
2023,CLE,86.5
2023,MIL,85.5
2023,CHW,82.5
2023,MIN,82.5
2023,TEX,82.5
2023,LAA,81.5
2023,SF,81.5
2023,BOS,77.5
2023,BAL,76.5
2023,MIA,76.5
2023,CHC,76.5
2023,ARI,74.5
2023,DET,70.5
2023,KCR,69.5
2023,PIT,67.5
2023,CIN,65.5
2023,COL,65.5
2023,WAS,61.5
2023,OAK,60.5
2024,ARI,83.5
2024,ATL,101.5
2024,BAL,89.5
2024,BOS,79.5
2024,CHC,83.5
2024,CHW,63.5
2024,CIN,81.5
2024,CLE,78.5
2024,COL,60.5
2024,DET,81.5
2024,HOU,93.5
2024,KCR,73.5
2024,LAA,72.5
2024,LAD,103.5
2024,MIA,78.5
2024,MIL,77.5
2024,MIN,87.5
2024,NYM,82.5
2024,NYY,93.5
2024,OAK,57.5
2024,PHI,89.5
2024,PIT,75.5
2024,STL,85.5
2024,SD,81.5
2024,SF,81.5
2024,SEA,86.5
2024,TB,84.5
2024,TEX,89.5
2024,TOR,87.5
2024,WAS,66.5
2025,LAD,103.5
2025,ATL,93.5
2025,PHI,91.5
2025,NYM,90.5
2025,NYY,89.5
2025,BAL,87.5
2025,HOU,87.5
2025,BOS,86.5
2025,ARI,86.5
2025,SDP,85.5
2025,TEX,85.5
2025,CHC,85.5
2025,SEA,84.5
2025,MIN,84.5
2025,DET,83.5
2025,KCR,83.5
2025,MIL,83.5
2025,CLE,82.5
2025,TBR,81.5
2025,SFG,80.5
2025,CIN,78.5
2025,TOR,78.5
2025,PIT,77.5
2025,STL,76.5
2025,WSN,72.5
2025,LAA,71.5
2025,OAK,71.5
2025,MIA,63.5
2025,COL,58.5
2025,CHW,53.5
